campaign_id,date,impressions,clicks,spend_usd,device
CMP001,2024-06-03,40343,586,108.61,mobile
CMP001,2024-06-04,18016,745,554.32,desktop
CMP001,2024-06-05,47086,620,270.45,desktop
CMP001,2024-06-08,42676,963,544.02,mobile
CMP001,2024-06-09,52583,2420,1600.3,tablet
CMP001,2024-06-10,57209,1335,842.01,mobile
CMP004,2024-06-10,56989,2663,1996.99,mobile
CMP001,2024-06-12,27234,864,423.61,tablet
CMP004,2024-06-13,33484,897,591.44,desktop
CMP004,2024-06-14,55459,1012,506.55,mobile
CMP001,2024-06-14,55164,1278,671.51,mobile
CMP004,2024-06-15,48780,1790,1486.05,tablet
CMP001,2024-06-15,41271,2295,1842.63,desktop
CMP001,2024-06-16,49874,1764,527.76,desktop
CMP002,2024-06-17,28720,1621,1380.77,mobile
CMP001,2024-06-18,0,0,0,na
CMP002,2024-06-18,38034,1561,893.27,mobile
CMP002,2024-06-19,12801,472,249.88,mobile
CMP004,2024-06-19,16893,901,257.95,desktop
CMP002,2024-06-20,30872,1668,1350.17,desktop
CMP001,2024-06-21,31788,1714,1326.21,desktop
CMP002,2024-06-22,26676,477,369.82,tablet
CMP004,2024-06-22,32844,866,425.23,desktop
CMP002,2024-06-23,27825,1129,1005.29,tablet
CMP002,2024-06-24,42664,443,337.93,desktop
CMP004,2024-06-24,24532,1269,637.96,tablet
CMP002,2024-06-25,51475,781,631.51,desktop
CMP001,2024-06-26,13613,634,483.12,tablet
CMP002,2024-06-26,15564,848,599.38,mobile
CMP002,2024-06-27,25848,622,191.56,desktop
CMP004,2024-06-27,43351,546,471.71,mobile
CMP004,2024-06-29,50607,679,589.35,mobile
CMP002,2024-06-29,40016,902,749.67,mobile
CMP002,2024-06-30,14048,586,452.4,mobile
CMP002,2024-07-01,8232,219,54.34,desktop
CMP004,2024-07-01,48719,858,209.92,tablet
CMP001,2024-07-02,21880,1235,884.81,tablet
CMP004,2024-07-04,24793,1198,330.46,tablet
CMP003,2024-07-05,52388,2483,696.53,tablet
CMP001,2024-07-05,50590,1450,1195.83,desktop
CMP002,2024-07-06,44759,469,96.82,tablet
CMP004,2024-07-06,57016,2618,1919.89,mobile
CMP004,2024-07-07,28384,437,73.97,desktop
CMP002,2024-07-07,17768,662,513.68,tablet
CMP003,2024-07-08,26803,549,405.89,tablet
CMP004,2024-07-09,45735,2006,1742.47,desktop
CMP002,2024-07-10,44210,769,188.85,desktop
CMP003,2024-07-10,50906,1329,639.7,tablet
CMP004,2024-07-10,54859,1092,648.73,tablet
CMP001,2024-07-11,10058,532,108.07,mobile
CMP003,2024-07-11,22005,782,582.83,tablet
