customer_id,signup_date,region,segment
CU501,2022-07-18,US-West,New
CU502,2023-07-26,US-East,New
CU503,2023-12-12,US-West,Loyal
CU504,2022-10-22,US-West,Loyal
CU505,2023-02-25,US-West,New
CU506,2024-01-28,US-East,New
CU507,2022-12-02,EU-Central,New
CU508,2022-10-06,US-East,Loyal
CU509,2022-07-07,EU-Central,Returning
CU510,2023-09-20,IN-North,Loyal
CU511,2023-07-23,US-West,New
CU512,2023-02-25,IN-South,Returning
CU513,2023-11-25,US-East,Returning
CU514,2024-01-19,US-West,Returning
CU515,2024-01-24,IN-South,Returning
CU516,2022-08-23,IN-South,New
CU517,2023-01-18,EU-Central,New
CU518,2023-04-11,US-West,Loyal
CU519,2023-07-07,EU-Central,Returning
CU520,2022-09-19,US-East,Loyal
CU521,2024-02-21,US-West,Loyal
CU522,2023-09-12,IN-South,New
CU523,2023-09-07,US-West,Returning
CU524,2023-07-23,IN-North,Loyal
CU525,2023-04-25,US-East,Returning
